,ogc_fid,uhgs_id,x,y,total,toponym,toponyme_standard_fr,toponyme_standard_en,substate_1789_fr,state_1789_fr,substate_1789_en,state_1789_en,belonging_states,belonging_substates,status,has_a_clerk,geonameid,admiralty,province,shiparea,ferme_direction,ferme_bureau,partner_balance_1789,partner_balance_supp_1789,point
191,525,A1964985,6.395187,43.00997,358,Hières,Hyères,Hyères,,France,,France,"[{""1749-1815"" : ""France""}]",,,,3012936.0,Toulon,Provence,MED-LIGS,Toulon,Toulon,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[711908.960367764,5313489.505750188]}"
192,1082,A0145857,-4.208333,48.65,2,Quernic,Kernic,Kernic,,France,,France,"[{""1749-1815"" : ""France""}]",,,,2983192.0,Brest,Bretagne,MAN-PLYM,Lorient,Brest,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-468469.486648528,6215681.042900641]}"
193,286,B2044556,-73.3833313,19.7999992,2,,Môle-Saint-Nicolas,Môle-Saint-Nicolas,Colonies françaises d'Amérique,France,French colonies in America,France,"[{""1749-1804"" : ""France""}]","[{""1749-1804"" : ""Colonies françaises d'Amérique""}]",siège amirauté,True,,Môle-Saint-Nicolas,Saint-Domingue,GUL-APPR,,,Saint-Domingue,colonies françaises,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-8168995.073030094,2249353.076779568]}"
194,1279,A0195706,-0.616667,45.066667,0,La Roque de Tau,Roque de Thau,Roque de Thau,,France,,France,"[{""1749-1815"" : ""France""}]",,,,,Bordeaux,Guyenne,ACE-ROCH,Bordeaux,Bordeaux,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-68647.056429014,5632022.954003648]}"
195,1388,A0694459,8.05,53.516667,0,Accummersyhl,Accumersiel (Dornumersiel),Accumersiel (Dornumersiel),Frise orientale,Prusse,East Frisia,Prussia,"[{""1749-1815"" : ""Prusse""}]","[{""1749-1815"" : ""Frise orientale""}]",,,,,,NOR-GBIG,,,Prusse,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[896121.900885853,7079145.073886348]}"
196,1299,A0218020,-1.4,49.7,0,Corqueville,Cosqueville ,Cosqueville ,,France,,France,"[{""1749-1815"" : ""France""}]",,,,,Barfleur,Normandie,MAN-WIGH,Caen,Cherbourg,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-155847.287110582,6394482.317900557]}"
197,882,B2136171,-55.55,51.366667,4,Baie de Saint Antoine en Terreneuve,Baie Saint-Antoine,St. Anthony,Colonies britanniques d'Amérique,Grande-Bretagne,British colonies in America,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Colonies britanniques d'Amérique""}]",,,6155308.0,,,ACA-NEWF,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-6183797.713566347,6686410.958959727]}"
198,1346,A0618467,6.916667,53.333333,0,Delf[$]iel [Delfzijl],Delfzijl ,Delfzijl ,Groningue,Provinces-Unies,Groningen,United Provinces,"[{""1749-1794"" : ""Provinces-Unies""},{""1795-1805"" : ""République batave""},{""1806-1810"" : ""Royaume de Hollande""},{""1811-1813"" : ""France""},{""1814-1815"" : ""Royaume uni des Pays-Bas""}]","[{""1749-1794"" : ""Groningue""}]",,,,,,NOR-GBIG,,,Hollande,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[769959.84842664,7044895.098309217]}"
199,287,A0107633,-6.35,36.783333,2,Saint Lucar de Barrame,Sanlúcar de Barrameda,Sanlúcar de Barrameda,,Espagne,,Spain,"[{""1749-1815"" : ""Espagne""}]",,,,3176849.0,,,ACE-CADI,,,Espagne,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-706878.766537289,4408949.078180066]}"
200,1296,A0217113,-1.9,49.683333,0,Jobourg,Jobourg,Jobourg,,France,,France,"[{""1749-1815"" : ""France""}]",,,,,Cherbourg,Normandie,MAN-WIGH,Caen,Cherbourg,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-211507.032507221,6391614.239420592]}"
201,1266,A0177190,-0.483333,44.716667,0,Ile de Saint George,Isle-Saint-Georges,Isle-Saint-Georges,,France,,France,"[{""1749-1815"" : ""France""}]",,,,,Bordeaux,Guyenne,ACE-ROCH,Bordeaux,Bordeaux,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-53804.383443585,5577026.249122395]}"
202,90,A0192436,1.65,50.516667,78,Etaples,Étaples ,Étaples ,,France,,France,"[{""1749-1815"" : ""France""}]",,oblique,True,3019441.0,Boulogne,Picardie,MAN-DOVE,Amiens,Boulogne-sur-Mer,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[183677.159808901,6536238.959692652]}"
203,177,A0137359,-3.966667,48.683333,20,Penpoul,Penpoul,Penpoul,,France,,France,"[{""1749-1815"" : ""France""}]",,oblique,True,2525384.0,Brest,Bretagne,MAN-PLYM,Lorient,Brest,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-441567.350586483,6221299.449558149]}"
204,1214,A0122915,2.983333,43.033333,0,Sigean,Sigean,Sigean,,France,,France,"[{""1749-1815"" : ""France""}]",,,,,Narbonne,Languedoc,MED-LION,Narbonne,Narbonne,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[332103.110426768,5317046.846462105]}"
205,1418,A1157336,15.583333,54.183333,0,Colberg,Colberg,Kolberg,,Prusse,,Prussia,"[{""1749-1815"" : ""Prusse""}]",,,,,,,BAL-BASO,,,Prusse,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[1734728.694422016,7204954.11195547]}"
206,1392,A0729068,9.783333,53.683333,0,Commer Fielt,Kummerfeld,Kummerfeld,,Danemark,,Denmark,"[{""1749-1815"" : ""Danemark""}]",,,,,,,NOR-GBIG,,,Danemark,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[1089075.64782103,7110410.012162943]}"
207,707,A0136390,-1.033333,45.716667,2,Mornac,Mornac,Mornac,,France,,France,"[{""1749-1815"" : ""France""}]",,,,2991746.0,Marennes,Saintonge,ACE-ROCH,La Rochelle,Marennes,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-115030.103379887,5735060.582245908]}"
208,506,A0179464,-1.35,46.016667,5,La Prée,La Brée,La Brée,,France,,France,"[{""1749-1815"" : ""France""}]",,,,3010826.0,Marennes,Saintonge,ACE-ROCH,La Rochelle,Oléron,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-150281.312570918,5783020.521084539]}"
209,886,A0170986,3.683333,43.4,595,Sette,Sète,Sète,,France,,France,"[{""1749-1815"" : ""France""}]",,siège amirauté,True,2974733.0,Sète,Languedoc,MED-LION,Montpellier,Sète,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[410026.753982061,5373055.471883489]}"
210,772,A0139070, 4.628813,43.678359,537,Arles,Arles,Arles,,France,,France,"[{""1749-1815"" : ""France""}]",,siège amirauté,True,3036938.0,Arles,Provence,MED-LION,Marseille,Arles,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[515277.106137286,5415801.668837734]}"
211,965,A0168677,-2.483333,47.533333,23,Billiers,Billiers,Billiers,,France,,France,"[{""1749-1815"" : ""France""}]",,,,3032633.0,Vannes,Bretagne,ACE-IROI,Lorient,Vannes,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-276443.365030132,6029566.265337852]}"
212,1326,A0403112,-5.1,50.166667,0,Penryn,Penryn,Penryn,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Cornwall,MAN-PLYM,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-567729.403045694,6475189.816984027]}"
213,911,A0129516,-1.083333,45.95,2,Port des Barques,Port-des-Barques,Port-des-Barques,,France,,France,"[{""1749-1815"" : ""France""}]",,,,3002552.0,Marennes,Saintonge,ACE-ROCH,La Rochelle,Marennes,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-120596.07791955,5772340.302359437]}"
214,844,A0411629,35.072778,32.923611,6,Acre,Acre,Acre,,Empire ottoman,,Ottoman empire,"[{""1749-1815"" : ""Empire ottoman""}]",,,,295721.0,,,MED-MEDE,,,,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[3904283.787665528,3885168.985158429]}"
215,687,A0197058,-2.683333,47.616667,1,Noyallo,Noyalo,Noyalo,,France,,France,"[{""1749-1815"" : ""France""}]",,,,2989919.0,Vannes,Bretagne,ACE-IROI,Lorient,Vannes,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-298707.263188788,6043317.17526741]}"
216,908,A0170183,-1.2,46.2,21,Le Plomb,Le Plomb,Le Plomb,,France,,France,"[{""1749-1815"" : ""France""}]",,,,3232753.0,La Rochelle,Aunis,ACE-ROCH,La Rochelle,La Rochelle,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-133583.388951928,5812457.491341966]}"
217,727,A0196496,-0.97043,45.943666,1431,Rochefort,Rochefort,Rochefort,,France,,France,"[{""1749-1815"" : ""France""}]",,oblique,True,2983276.0,La Rochelle,Aunis,ACE-ROCH,La Rochelle,Rochefort,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-108027.773450518,5771326.248394974]}"
218,1259,A0172973,-2.35,47.25,0,Pornichet,Pornichet,Pornichet,,France,,France,"[{""1749-1815"" : ""France""}]",,,,,Nantes,Bretagne,ACE-YEUX,Nantes,Nantes,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-261600.803364194,5982976.332951714]}"
219,1393,A0729978,7,53.683333,0,Hust,Juist,Juist,Frise orientale,Prusse,East Frisia,Prussia,"[{""1749-1815"" : ""Prusse""}]","[{""1749-1815"" : ""Frise orientale""}]",,,,,,NOR-GBIG,,,Prusse,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[779236.435552915,7110410.012162943]}"
220,2,A0196771,1.633333,50.183333,497,Saint Valéry sur Somme,Saint-Valéry-sur-Somme,Saint-Valery-sur-Somme,,France,,France,"[{""1749-1815"" : ""France""}]",,siège amirauté,True,2976701.0,Saint-Valéry-sur-Somme,Picardie, MAN-WIGH,Amiens,Saint-Valéry-sur-Somme,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[181821.79785585,6478086.63255543]}"
221,1091,A0189364,-1.066667,45.866667,30,Brouage,Brouage ,Brouage ,,France,,France,"[{""1749-1815"" : ""France""}]",,,,3029897.0,Marennes,Saintonge,ACE-ROCH,La Rochelle,Marennes,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-118740.82728599,5759008.197591133]}"
222,101,A0170853,6.766667,43.416667,12,Saint Raphael,Saint-Raphaël,Saint-Raphaël,,France,,France,"[{""1749-1815"" : ""France""}]",,,,2977246.0,Fréjus,Provence,MED-LIGS,Toulon,Saint-Raphaël,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[753261.92480765,5375609.396884064]}"
223,1422,A1968856,-1.287579,46.181369,0,Fort de la Prée,La Flotte,La Flotte,,France,,France,"[{""1749-1815"" : ""France""}]",,,,,La Rochelle,Aunis,ACE-ROCH,La Rochelle,Saint-Martin île de Ré,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-143332.638636111,5809461.518838536]}"
224,1018,A0147257,6.633333,43.266667,1042,Saint Tropez,Saint-Tropez,Saint-Tropez,,France,,France,"[{""1749-1815"" : ""France""}]",,siège amirauté,True,2976742.0,Saint-Tropez,Provence,MED-LIGS,Toulon,Saint-Tropez,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[738419.251822217,5352649.768171509]}"
225,1019,A0134267,5.8,43.116667,147,Saint Nazaire [Sanary],Saint-Nazaire / Sanary-sur-Mer,Saint-Nazaire / Sanary-sur-Mer,,France,,France,"[{""1749-1815"" : ""France""}]",,oblique,True,2976258.0,Toulon,Provence,MED-LIGS,Toulon,Toulon,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[645653.046600986,5329746.647074908]}"
226,638,A0169535,1.583333,50.366667,3,Baie d' Authie,Baie d'Authie,Baie d'Authie,,France,,France,"[{""1749-1815"" : ""France""}]",,oblique,True,3035948.0,Abbeville,Picardie,MAN-DOVE,Amiens,Abbeville,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[176255.823316186,6510019.930353912]}"
227,16,A0410570,-0.15,50.833333,127,Brighthelm-Stone [Brighton],Brighton,Brighton,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2654710.0,,Sussex, MAN-WIGH,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-16697.92361899,6591865.043604825]}"
228,1203,A1409167,31.55,46.616667,1,Oczakou dans la Mer Noire,Ochakiv,Ochakov,Russie - mer Noire,Empire russe,Black Sea,Russian Empire,"[{""1749-1815"" : ""Empire russe""}]","[{""1749-1815"" : ""Russie - mer Noire""}]",,,,,,BSE-RUSS,,,Russie,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[3512129.934527781,5879727.295937412]}"
229,500,A0198247,-2.25,48.533333,2,Plancoet,Plancoët,Plancoët,,France,,France,"[{""1749-1815"" : ""France""}]",,,,2986894.0,Saint-Brieuc,Bretagne,MAN-PORT,Saint-Malo,Saint-Brieuc,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-250468.854284867,6196045.561359413]}"
230,215,A0122918,-3.983333,48.733333,253,Roscoff,Roscoff,Roscoff,,France,,France,"[{""1749-1815"" : ""France""}]",,oblique,True,2982809.0,Brest,Bretagne,MAN-PLYM,Lorient,Brest,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-443422.601220043,6229734.120403884]}"
231,931,A0122883,-0.4106238234052784,44.9963431012268,3,Saint André de Cuzac,Saint-André de Cubzac,Saint-André de Cubzac,,France,,France,"[{""1749-1815"" : ""France""}]",,,,3170674.0,Bordeaux,Guyenne,ACE-ROCH,Bordeaux,Libourne,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-45710.434929062,5620945.800694601]}"
232,174,A0388078,-3.433333,56.4,1,Parth,Perth,Perth,Ecosse,Grande-Bretagne,Scotland,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Ecosse""}]",,,3127117.0,,Ecosse,NOR-FORH,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-382196.881283741,7638459.950994259]}"
233,1426,A1968907,5.476756,53.129267,0,Anereun,Arum,Arum,Frise,Provinces-Unies,Friesland,United Provinces,"[{""1749-1794"" : ""Provinces-Unies""},{""1795-1805"" : ""République batave""},{""1806-1810"" : ""Royaume de Hollande""},{""1811-1813"" : ""France""},{""1814-1815"" : ""Royaume uni des Pays-Bas""}]","[{""1749-1794"" : ""Frise""}]",,,,,,,,,Hollande,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[609669.689119007,7006944.703183024]}"
234,929,A0135509, -0.807407,49.347243,3,Sainte Honorine,Sainte-Honorine,Sainte-Honorine,,France,,France,"[{""1749-1815"" : ""France""}]",,,,2980538.0,Bayeux,Normandie,MAN-WIGH,Caen,Caen,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-89880.136102925,6333987.979560014]}"
235,531,A0180812,-0.101652,49.287213,17,Dives,Dives,Dives,,France,,France,"[{""1749-1815"" : ""France""}]",,oblique,True,3021301.0,Caen,Normandie,MAN-WIGH,Caen,Caen,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-11315.848878119,6323736.693389144]}"
236,746,A0151330,-1.416667,46.2,492,Ile de Ré,île de Ré,île de Ré,,France,,France,"[{""1749-1815"" : ""France""}]",,,,2984309.0,La Rochelle,Aunis,ACE-ROCH,La Rochelle,Saint-Martin île de Ré,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-157702.649063633,5812457.491341966]}"
237,462,A0197188,8.933333,41.483333,1,Roquepine en Corse,Roccapina,Roccapina,,France,,France,"[{""1749-1815"" : ""France""}]",,,,12025149.0,Ajaccio,Corse,MED-CORS,,,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[994454.080646747,5083896.702761021]}"
238,222,A0816635,12.583333,55.666667,35,Copenhague,Copenhague ,Copenhagen,,Danemark,,Denmark,"[{""1749-1815"" : ""Danemark""}]",,,,2618425.0,,,BAL-BELT,,,Danemark,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[1400770.222042196,7492342.649865281]}"
239,653,A0157230,7.15,43.666667,6,Cagnes,Cagnes,Cagnes,,France,,France,"[{""1749-1815"" : ""France""}]",,,,3022309.0,Antibes,Provence,MED-LIGS,Toulon,Cannes,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[795934.359171908,5414002.207781923]}"
240,10,A0228170,14.933333,38.483333,8,Lipari,Lipari,Lipari,Sicile,Royaume de Naples,Sicily,Kingdom of Naples,"[{""1749-1815"" : ""Royaume de Naples""}]","[{""1749-1815"" : ""Sicile""}]",,,2524379.0,,,MED-TYSC,,,,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[1662371.02540639,4647931.3690378]}"
241,257,A1968873, 9.075326,41.477032,1,Figary en Corse,Figari,Figari,,France,,France,"[{""1749-1768"" : ""République de Gênes""},{""1769-1815"" : ""France""}]","[{""1749-1768"" : ""Corse""}]",,,11101942.0,Ajaccio,Corse,MED-CORS,,,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[1010260.669102958,5082960.453049315]}"
242,562,A0649794,9.933333,53.55,1,Altona,Altona,Altona,,Danemark,,Denmark,"[{""1749-1815"" : ""Danemark""}]",,,,2911296.0,,,NOR-GBIG,,,Danemark,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[1105773.57144002,7085388.165495079]}"
243,1197,A1494718,26.685556,40.344167,1,Lapsaque,Lapseki,Lapseki,,Empire ottoman,,Ottoman empire,"[{""1749-1815"" : ""Empire ottoman""}]",,,,,,,BSE-STRA,,,,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[2970622.505455387,4916082.460188064]}"
244,1238,A0144975,1.166667,44.816667,0,Castelneau,Castelnaud,Castelnaud,,France,,France,"[{""1749-1815"" : ""France""}]",,,,,Bordeaux,Guyenne,ACE-ROCH,Bordeaux,Bordeaux,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[129872.776365317,5592705.486029104]}"
245,660,A0169612,-4.75,48.516667,9,Argenton,Argenton,Argenton,,France,,France,"[{""1749-1815"" : ""France""}]",,oblique,True,3037024.0,Brest,Bretagne,MAN-PLYM,Lorient,Brest,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-528767.581268051,6193244.308560103]}"
246,1114,A0406859,-2.583333,51.45,21,Bristol,Bristol,Bristol,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2654675.0,,Somerset shire,ANE-LUND,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-287575.314109459,6701282.868773621]}"
247,675,A0199798,-3,48.85,4,Bréhat,île-de-Bréhat,île-de-Bréhat,,France,,France,"[{""1749-1815"" : ""France""}]",,oblique,True,3030401.0,Saint-Brieuc,Bretagne,MAN-PORT,Saint-Malo,Saint-Brieuc,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-333958.47237982,6249447.752791281]}"
248,870,A0194200,1.6,50.8,1,Ambleteuse,Ambleteuse,Ambleteuse,,France,,France,"[{""1749-1815"" : ""France""}]",,,,3037915.0,Boulogne,Picardie,MAN-DOVE,Amiens,Boulogne-sur-Mer,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[178111.185269238,6585991.99809962]}"
249,1186,A0406923,0.083333,51.533333,0,,Barking,Barking,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[9276.587126275,6716181.947681234]}"
250,656,A0341966,24.074444,35.484444,5,Sude,Souda,Souda,,Empire ottoman,,Ottoman empire,"[{""1749-1815"" : ""Empire ottoman""}]",,,,2464470.0,,,MED-AEGS,,,,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[2679954.847211179,4229911.591798574]}"
251,1416,A1070895,17.941111,62.636111,0,Hernozand [Härnösand],Härnösand,Härnösand,,Suède,,Sweden,"[{""1749-1815"" : ""Suède""}]",,,,,,,BAL-BOTS,,,Suède,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[1997195.340785599,9011575.42600996]}"
252,613,A0076723,-4.033333,43.45,7,Saint Martin de Larena [San Martín de la Arena],San Martín de la Arena,San Martín de la Arena,,Espagne,,Spain,"[{""1749-1815"" : ""Espagne""}]",,,,3110370.0,,,ACE-CANT,,,Espagne,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-448988.575759707,5380719.203307414]}"
253,1008,A0122218,1.083333,49.433333,3746,Rouen,Rouen,Rouen,,France,,France,"[{""1749-1815"" : ""France""}]",,siège amirauté,True,2982652.0,Rouen,Normandie,MAN-WIGH,Rouen,Rouen,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[120596.07791955,6348711.370991308]}"
254,1385,A0676229,12.5,53.5,0,Mekelbourg,Mecklenbourg,Mecklenburg,Poméranie suédoise,Suède,Swedish Pomerania,Sweden,"[{""1749-1803"" : ""Suède""},{""1803-1815"" : ""Duché de Mecklenbourg""}]","[{""1749-1803"" : ""Poméranie suédoise""}]",,,,,,,,,Suède,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[1391493.634915921,7076025.276180581]}"
255,1251,A0159051,-1.966667,48.683333,0,Rosthéneuf,Rothéneuf ,Rothéneuf ,,France,,France,"[{""1749-1815"" : ""France""}]",,,,,Saint-Malo,Bretagne,MAN-PORT,Saint-Malo,Saint-Malo,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-218928.368999936,6221299.449558149]}"
256,1248,A0152801,1.45,50.1,0,Ault,Ault,Ault,,France,,France,"[{""1749-1815"" : ""France""}]",,,,,Saint-Valéry-sur-Somme,Picardie,MAN-DOVE,Amiens,Saint-Valéry-sur-Somme,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[161413.261650248,6463612.124257667]}"
257,254,A1017571,22,57,1,Courland en Prusse,Courlande,Courland,,Duché de Courlande,,Duchy of Courland,"[{""1749-1815"" : ""Duché de Courlande""}]",,,,6050219.0,,,,,,,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[2449028.797452019,7760118.672902456]}"
258,1176,A0395417,0.9,51.4,0,,Warden,Warden,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Kent,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[100187.541713946,6692356.435262544]}"
259,742,A0199337,6.083333,43.033333,1,Ile Longue,île Longue (Giens),île Longue (Giens),,France,,France,"[{""1749-1815"" : ""France""}]",,,,2509954.0,Toulon,Provence,MED-LIGS,Toulon,Toulon,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[677193.531885918,5317046.846462105]}"
